City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
138,chonchi,-42.6128,-73.8092,12.84,77,88,3.76,CL,1701207458
139,aasiaat,68.7098,-52.8699,-9.86,66,98,9.6,GL,1701207417
140,lauro de freitas,-12.8944,-38.3272,27.01,78,20,6.69,BR,1701207686
141,tosontsengel,48.7567,98.2839,-27.1,100,100,0.43,MN,1701207913
142,omdurman,15.6445,32.4777,29.12,28,3,6.41,SD,1701207914
143,aoulef,26.9667,1.0833,18.49,24,100,3.77,DZ,1701207914
144,luderitz,-26.6481,15.1594,19.18,72,51,10.82,NA,1701207479
145,weyburn,49.6668,-103.8511,4.12,65,0,5.66,CA,1701207914
146,anadyr,64.75,177.4833,-2.72,86,40,7.0,RU,1701207411
147,sinjai,-5.1241,120.253,25.06,84,100,1.65,ID,1701207915
148,ribeira grande,38.5167,-28.7,19.32,94,75,5.36,PT,1701207421
149,east london,-33.0153,27.9116,19.38,76,100,9.7,ZA,1701207426
150,polyarnyy,69.1989,33.4478,-2.47,88,97,7.34,RU,1701207422
151,punta arenas,-53.15,-70.9167,10.06,53,40,11.83,CL,1701207321
152,portland,45.5234,-122.6762,9.82,56,20,5.66,US,1701207730
153,xining,36.6167,101.7667,-3.25,60,18,0.85,CN,1701207785
154,laguna,38.421,-121.4238,19.8,35,0,2.06,US,1701207488
155,isafjordur,66.0755,-23.124,0.21,84,100,1.57,IS,1701207398
156,chany,55.3121,76.7647,-6.19,86,100,4.38,RU,1701207917
157,nagornyy,52.7959,83.5498,-6.7,66,7,2.4,RU,1701207918
158,manicore,-5.8092,-61.3003,25.65,79,81,0.7,BR,1701207918
159,kupang,-10.1667,123.5833,25.32,100,20,1.03,ID,1701207504
160,naze,28.3667,129.4833,12.51,60,0,1.49,JP,1701207522
161,kingston,17.997,-76.7936,27.53,78,75,3.09,JM,1701207462
162,kapa'a,22.0752,-159.319,23.18,88,75,4.12,US,1701207646
163,galle,6.0367,80.217,24.74,84,100,0.65,LK,1701207919
164,glen innes,-29.7333,151.7333,18.74,74,95,3.67,AU,1701207919
165,acarau,-2.8856,-40.12,26.83,79,51,7.27,BR,1701207727
166,champerico,14.3,-91.9167,35.3,72,100,2.57,GT,1701207768
167,balakliya,49.4627,36.8595,1.25,90,100,5.22,UA,1701207920
168,nova sintra,14.8667,-24.7167,21.55,73,8,5.62,CV,1701207416
169,claudio,-20.4433,-44.7658,21.97,85,93,2.15,BR,1701207920
170,whitehorse,60.7161,-135.0538,-4.57,67,20,2.06,CA,1701207398
171,suez,29.9737,32.5263,15.81,55,100,4.02,EG,1701207921
172,dzhalagash,45.0833,64.6667,8.4,89,100,4.44,KZ,1701207921
173,gadzhiyevo,69.2551,33.3362,-1.81,87,100,7.99,RU,1701207482
174,port elizabeth,-33.918,25.5701,17.4,82,40,9.77,ZA,1701207427
175,ancud,-41.8697,-73.8203,11.73,82,39,6.4,CL,1701207442
176,tamanrasset,22.785,5.5228,11.95,14,0,2.06,DZ,1701207922
177,zhigalovo,54.8097,105.1578,-21.33,99,91,0.86,RU,1701207517
178,madison,34.7334,-86.5667,8.17,44,0,5.14,US,1701207765
